Band,Year,Total_Auctions,Successful_Auctions,Avg_Percent_Sold,Total_Reserve_Price,Total_Winning_Price,Total_Companies
1800,2012,22,15,34.29752066115702,0.0,8393.48,28
1800,2014,22,8,77.56654426036143,36385.0,37572.6,62
1800,2015,22,11,62.045118624066,8936.2,9636.17,28
1800,2016,22,8,70.23583407849027,24647.2,18493.91,44
1800,2021,22,4,53.16507978235517,52800.4,18997.4,33
1800,2022,22,2,27.258189887460034,27696.8,10375.99,13
1800,2024,22,4,28.400527186153376,21752.4,3578.9300000000003,12
2100,2010,22,20,96.96969696969698,10830.0,50884.59,69
2100,2015,22,14,63.63636363636363,17555.0,10115.41,14
2100,2016,22,1,22.727272727272723,63345.0,15950.0,15
2100,2021,22,0,6.818181818181818,28585.0,355.0,3
2100,2022,22,4,24.242424242424246,14585.0,3180.0,7
2100,2024,22,3,15.909090909090908,11810.0,545.0,4
2300,2010,22,22,100.0,3500.0,25695.539999999997,44
2300,2016,22,15,68.18181818181819,15200.0,15710.119999999999,30
2300,2021,22,16,86.36363636363636,20340.0,13240.0,38
2500,2016,22,9,64.77272727272727,30680.0,11661.6,29
2500,2022,22,1,6.06060606060606,10940.0,650.0,2
2500,2024,22,0,9.090909090909092,2300.0,150.0,1
26000,2022,22,0,72.32854864433811,19921.5,14708.5,66
3300,2022,22,0,75.6198347107438,104610.0,80590.0,61
700,2022,22,0,40.0,98175.0,39270.0,22
800,2013,22,2,29.545454545454547,7329.04,3430.02,8
800,2015,22,13,69.96392496392497,13465.0,17158.79,26
800,2016,22,0,10.909090909090908,26126.25,3623.4900000000002,4
800,2021,22,0,58.41023875114785,54685.0,37500.0,23
800,2022,22,4,18.181818181818183,22351.25,1050.0,4
900,2014,22,3,13.636363636363637,12758.0,23589.620000000003,7
900,2015,22,16,71.46837033933808,40223.799999999996,72964.54,29
900,2021,22,2,30.950188591863114,17537.6,7722.4,11
900,2022,22,1,12.136763529725407,11085.4,348.8,3
900,2024,22,3,39.17521676475435,15698.8,7066.6,17
