Service_Area,Band,Year,Blocks_Offered,Blocks_Bought,Percent_Sold,Reserve_Price_Total,Winning_Price_Total,Companies,Success
Andhra Pradesh,2100,2010,3,3,100.0,960.0,4119.42,3,True
Assam,2100,2010,3,2,66.66666666666666,90.0,82.96,2,False
Bihar,2100,2010,4,4,100.0,120.0,813.84,4,True
Delhi,2100,2010,3,3,100.0,960.0,9950.79,3,True
Gujarat,2100,2010,3,3,100.0,960.0,3228.18,3,True
Haryana,2100,2010,3,3,100.0,360.0,667.74,3,True
Himachal Pradesh,2100,2010,4,4,100.0,120.0,148.92,4,True
Jammu & Kashmir,2100,2010,4,4,100.0,120.0,121.2,4,True
Karnataka,2100,2010,3,3,100.0,960.0,4739.73,3,True
Kerala,2100,2010,3,3,100.0,360.0,937.44,3,True
Kolkata,2100,2010,3,3,100.0,360.0,1632.78,3,True
Madhya Pradesh,2100,2010,3,3,100.0,360.0,775.08,3,True
Maharashtra,2100,2010,3,3,100.0,960.0,3773.46,3,True
Mumbai,2100,2010,3,3,100.0,960.0,9741.21,3,True
North East,2100,2010,3,2,66.66666666666666,90.0,84.6,2,False
Orissa,2100,2010,3,3,100.0,90.0,290.94,3,True
Punjab,2100,2010,4,4,100.0,480.0,1288.04,4,True
Rajasthan,2100,2010,3,3,100.0,360.0,963.09,3,True
Tamil Nadu,2100,2010,3,3,100.0,960.0,4394.82,3,True
Uttar Pradesh (E),2100,2010,3,3,100.0,360.0,1093.71,3,True
Uttar Pradesh (W),2100,2010,3,3,100.0,360.0,1542.12,3,True
West Bengal,2100,2010,4,4,100.0,480.0,494.52,4,True
Andhra Pradesh,2300,2010,2,2,100.0,320.0,2118.24,2,True
Assam,2300,2010,2,2,100.0,30.0,66.04,2,True
Bihar,2300,2010,2,2,100.0,30.0,198.56,2,True
Delhi,2300,2010,2,2,100.0,320.0,4482.04,2,True
Gujarat,2300,2010,2,2,100.0,320.0,1227.7,2,True
Haryana,2300,2010,2,2,100.0,120.0,239.8,2,True
Himachal Pradesh,2300,2010,2,2,100.0,30.0,41.32,2,True
Jammu & Kashmir,2300,2010,2,2,100.0,30.0,42.54,2,True
Karnataka,2300,2010,2,2,100.0,320.0,3086.5,2,True
Kerala,2300,2010,2,2,100.0,120.0,517.34,2,True
Kolkata,2300,2010,2,2,100.0,120.0,1046.4,2,True
Madhya Pradesh,2300,2010,2,2,100.0,120.0,249.32,2,True
Maharashtra,2300,2010,2,2,100.0,320.0,1831.28,2,True
Mumbai,2300,2010,2,2,100.0,320.0,4585.9,2,True
North East,2300,2010,2,2,100.0,30.0,42.54,2,True
Orissa,2300,2010,2,2,100.0,30.0,127.26,2,True
Punjab,2300,2010,2,2,100.0,120.0,664.54,2,True
Rajasthan,2300,2010,2,2,100.0,120.0,194.64,2,True
Tamil Nadu,2300,2010,2,2,100.0,320.0,4138.9,2,True
Uttar Pradesh (E),2300,2010,2,2,100.0,120.0,285.0,2,True
Uttar Pradesh (W),2300,2010,2,2,100.0,120.0,367.74,2,True
West Bengal,2300,2010,2,2,100.0,120.0,141.94,2,True
Andhra Pradesh,1800,2012,11,4,36.36363636363637,0.0,1147.64,1,True
Assam,1800,2012,11,7,63.63636363636363,0.0,60.69,3,True
Bihar,1800,2012,11,11,100.0,0.0,510.73,4,True
Delhi,1800,2012,8,0,0.0,0.0,0.0,0,False
Gujarat,1800,2012,11,8,72.72727272727273,0.0,1798.72,2,True
Haryana,1800,2012,11,6,54.54545454545454,0.0,279.12,2,True
Himachal Pradesh,1800,2012,11,0,0.0,0.0,0.0,0,False
Jammu & Kashmir,1800,2012,11,0,0.0,0.0,0.0,0,False
Karnataka,1800,2012,11,0,0.0,0.0,0.0,0,False
Kerala,1800,2012,11,1,9.090909090909092,0.0,65.3,1,True
Kolkata,1800,2012,11,4,36.36363636363637,0.0,454.88,1,True
Madhya Pradesh,1800,2012,11,0,0.0,0.0,0.0,0,False
Maharashtra,1800,2012,11,5,45.45454545454545,0.0,1314.05,2,True
Mumbai,1800,2012,8,0,0.0,0.0,0.0,0,False
North East,1800,2012,11,6,54.54545454545454,0.0,53.04,2,True
Orissa,1800,2012,11,6,54.54545454545454,0.0,121.62,2,True
Punjab,1800,2012,11,1,9.090909090909092,0.0,67.28,1,True
